,state,create_to_launch_day,launch_to_deadline_day,year,staff_pick
167,failed,10,25,2015,False
168,successful,57,44,2019,False
169,failed,8,30,2013,False
170,successful,3,16,2015,False
171,failed,1,8,2017,False
172,failed,20,30,2020,False
173,successful,10,21,2017,True
174,successful,45,30,2016,True
175,successful,28,20,2014,True
176,successful,6,26,2013,False
177,successful,5,14,2020,False
178,failed,0,30,2018,False
179,failed,650,30,2018,False
180,successful,1,36,2016,False
181,successful,0,25,2016,False
182,successful,12,30,2014,True
183,successful,0,40,2016,False
184,successful,88,30,2019,False
185,successful,373,30,2016,False
186,failed,0,10,2016,False
187,failed,5,60,2014,False
188,failed,0,30,2017,True
189,successful,327,30,2013,False
190,failed,0,89,2010,False
191,successful,41,9,2020,True
192,successful,53,4,2015,True
193,successful,13,30,2013,True
194,successful,0,28,2015,False
195,successful,2,30,2017,True
196,failed,13,60,2017,False
197,successful,0,30,2015,False
198,failed,6,2,2015,False
199,failed,4,30,2017,False
200,failed,0,29,2017,False
201,failed,9,30,2017,False
202,failed,128,45,2017,False
203,successful,15,29,2019,True
204,failed,2,60,2018,False
205,successful,22,60,2016,False
206,successful,1,30,2014,True
207,successful,12,30,2017,False
208,failed,44,14,2014,False
209,successful,17,27,2015,False
210,failed,3,30,2014,False
211,successful,1,30,2012,False
212,successful,6,30,2018,False
213,failed,16,30,2015,False
214,failed,2,29,2014,False
215,successful,34,30,2018,True
216,failed,0,52,2009,False
217,failed,43,30,2014,True
218,successful,0,29,2015,False
219,failed,1,59,2015,False
220,failed,14,34,2012,False
221,successful,29,58,2012,False
222,successful,0,30,2016,False
223,successful,64,60,2018,False
224,successful,2,30,2019,False
225,failed,0,37,2016,False
226,successful,53,22,2020,False
227,successful,7,29,2012,False
228,successful,0,22,2020,False
229,successful,15,60,2018,False
230,successful,8,32,2020,False
231,failed,0,40,2017,False
232,failed,1,60,2015,False
233,failed,0,90,2010,False
234,successful,2,45,2013,True
235,successful,45,14,2019,False
236,failed,3,30,2015,False
237,failed,28,45,2016,False
238,successful,15,30,2016,False
239,failed,18,30,2017,False
240,successful,12,27,2018,False
241,failed,225,30,2018,False
242,successful,7,50,2019,False
243,failed,2,27,2014,False
244,successful,20,59,2015,False
245,successful,358,59,2019,False
246,successful,149,30,2017,True
247,successful,12,28,2016,True
248,successful,2,11,2020,True
249,successful,41,30,2015,True
250,successful,5,30,2012,False
251,successful,16,30,2020,False
252,successful,55,30,2018,False
253,successful,0,14,2016,False
254,successful,3,17,2016,False
255,failed,10,60,2014,False
257,successful,0,32,2017,False
258,failed,2,21,2019,False
259,successful,21,30,2018,False
260,successful,7,30,2015,False
261,successful,2,30,2014,True
262,successful,7,30,2018,False
263,successful,1,30,2019,False
264,failed,0,60,2017,False
265,failed,60,30,2019,False
266,successful,40,12,2018,False
267,failed,26,37,2020,False
268,failed,0,30,2011,False
269,failed,7,45,2015,False
270,failed,22,44,2012,False
272,failed,3,30,2015,False
273,failed,830,12,2016,False
274,successful,21,30,2011,True
275,failed,3,58,2016,False
277,successful,11,30,2016,True
278,failed,9,30,2014,False
279,successful,40,40,2010,False
280,failed,0,60,2014,False
281,failed,80,59,2015,False
282,successful,0,13,2017,True
283,successful,5,33,2018,True
284,failed,0,36,2011,False
285,failed,266,30,2017,False
286,successful,8,48,2018,False
287,failed,1,60,2019,False
288,successful,3,29,2014,False
289,successful,139,30,2016,False
290,successful,2,28,2017,False
291,successful,30,28,2016,False
292,successful,41,30,2019,True
293,successful,116,20,2014,False
294,failed,8,15,2014,False
295,successful,0,20,2016,False
296,successful,10,30,2019,False
297,failed,35,29,2016,False
298,successful,6,15,2013,False
299,successful,55,30,2014,False
301,failed,13,60,2019,False
302,successful,1780,55,2019,False
303,successful,0,30,2015,False
304,successful,3,30,2020,False
305,failed,7,30,2017,False
306,failed,0,60,2018,False
307,failed,0,29,2015,False
308,successful,9,30,2020,False
309,successful,34,39,2020,False
310,failed,59,17,2012,False
311,failed,2,30,2017,False
312,successful,35,60,2013,True
313,successful,1,51,2012,False
314,failed,287,10,2014,False
315,successful,38,27,2019,True
316,successful,1,30,2017,False
317,successful,43,60,2012,False
318,failed,101,36,2018,False
319,successful,0,29,2018,False
320,successful,26,30,2013,False
321,failed,226,30,2017,False
323,successful,3,29,2014,False
324,successful,25,45,2014,True
325,failed,7,36,2017,False
326,failed,44,50,2018,False
327,successful,12,30,2017,False
328,successful,19,22,2018,True
329,successful,163,30,2016,False
330,failed,20,50,2020,False
331,failed,1,40,2016,False
332,successful,0,90,2011,False
334,failed,0,14,2018,False
335,failed,5,30,2015,False
337,successful,46,22,2013,True
338,successful,0,35,2019,False
339,failed,3,30,2018,False
340,failed,281,30,2015,False
341,failed,46,30,2018,False
342,failed,1040,30,2019,False
343,successful,9,40,2013,False
344,successful,0,60,2010,True
345,failed,8,30,2017,False
346,failed,3,30,2014,False
347,failed,0,60,2010,False
348,successful,0,44,2011,False
349,successful,0,30,2015,False
351,failed,0,15,2020,False
353,successful,0,29,2016,False
354,successful,3,30,2020,False
355,successful,219,29,2020,False
356,failed,0,89,2009,False
357,successful,0,9,2017,False
358,successful,215,30,2017,True
359,failed,4,59,2015,False
361,successful,10,29,2015,False
362,failed,6,55,2017,False
363,successful,0,6,2016,False
364,successful,35,36,2020,False
365,failed,5,60,2018,False
366,failed,10,29,2018,False
368,failed,2,30,2016,False
369,failed,3,22,2011,False
370,successful,53,40,2015,False
371,successful,19,19,2017,False
372,failed,6,30,2020,False
373,failed,3,30,2020,False
374,successful,7,30,2016,False
375,failed,202,60,2018,False
376,failed,0,31,2018,False
377,failed,0,29,2016,False
378,successful,10,29,2017,False
379,failed,0,20,2014,False
380,successful,5,15,2020,False
381,successful,6,30,2018,False
383,successful,3,30,2013,True
384,successful,4,31,2015,False
385,failed,54,30,2015,False
386,failed,46,60,2015,False
387,failed,7,45,2020,False
388,failed,10,24,2018,False
389,successful,13,32,2016,False
390,successful,0,21,2009,False
391,failed,81,17,2019,True
392,failed,9,60,2015,False
393,failed,7,60,2011,False
394,successful,27,30,2018,False
395,successful,20,30,2012,False
396,successful,26,30,2013,False
398,successful,26,30,2017,False
399,successful,1068,30,2017,False
400,successful,19,30,2017,True
402,failed,34,41,2019,False
403,failed,1,30,2017,False
405,successful,9,30,2015,False
406,failed,0,30,2016,False
407,successful,10,29,2016,False
408,failed,51,30,2017,False
409,successful,2,30,2019,False
410,successful,7,6,2018,False
411,failed,4,40,2012,False
414,failed,9,60,2019,False
415,failed,0,30,2016,False
416,successful,32,30,2016,True
417,successful,0,30,2018,False
418,failed,0,29,2018,False
419,successful,7,22,2016,False
420,successful,21,28,2015,True
421,successful,50,59,2015,False
422,successful,18,60,2016,False
423,successful,37,30,2014,True
424,failed,0,30,2016,False
425,successful,152,38,2015,False
426,successful,0,29,2020,False
427,failed,27,40,2014,False
428,successful,8,30,2013,False
429,failed,1,29,2016,False
430,successful,27,30,2019,False
432,successful,16,30,2015,False
433,failed,7,60,2018,False
434,successful,1,7,2016,False
435,failed,0,60,2015,False
436,failed,8,30,2014,False
437,failed,20,30,2015,False
438,successful,0,30,2011,False
440,failed,29,30,2019,False
441,successful,342,30,2020,False
442,failed,19,59,2019,False
443,successful,48,29,2015,False
444,failed,0,59,2019,False
445,failed,1,30,2020,False
446,successful,2,40,2018,False
447,successful,28,45,2015,True
448,successful,3,28,2020,False
449,successful,15,53,2013,False
450,successful,13,33,2013,False
451,failed,133,30,2015,False
452,successful,51,36,2013,True
453,successful,8,30,2020,False
454,successful,3,30,2015,False
455,successful,371,60,2013,False
456,failed,15,30,2015,False
457,successful,170,30,2020,True
458,failed,1,30,2015,False
459,failed,0,30,2020,False
460,successful,3,18,2020,False
461,successful,1,60,2019,False
462,successful,11,30,2015,False
463,failed,1,32,2017,False
464,failed,0,58,2018,False
466,failed,0,60,2018,False
467,failed,12,7,2018,False
469,successful,13,20,2015,False
470,failed,0,60,2017,False
471,successful,0,59,2017,False
472,successful,2,21,2016,False
473,successful,9,60,2016,False
474,failed,0,60,2020,False
475,failed,24,58,2012,False
476,failed,1,60,2014,False
477,failed,0,60,2019,False
478,successful,3,50,2010,False
479,failed,0,25,2015,False
480,failed,1,60,2018,False
481,failed,25,29,2014,False
482,failed,23,60,2015,False
483,failed,0,30,2015,False
484,failed,0,59,2020,False
485,failed,10,30,2014,False
486,successful,14,2,2018,False
487,failed,20,30,2013,False
488,successful,24,60,2020,False
489,successful,13,28,2020,False
490,failed,8,30,2017,False
491,successful,210,30,2015,False
492,failed,0,30,2017,False
493,failed,65,30,2014,False
494,failed,61,30,2015,False
495,failed,28,24,2013,False
497,successful,28,16,2019,False
498,failed,16,30,2017,False
499,successful,56,60,2020,False
500,successful,7,30,2020,True
501,successful,79,30,2020,False
502,failed,47,44,2016,False
503,failed,0,50,2014,False
504,failed,3,30,2015,False
505,failed,0,60,2015,False
507,successful,2,30,2019,False
508,successful,0,44,2017,True
509,failed,55,30,2017,False
510,failed,284,59,2018,False
511,successful,0,30,2017,False
512,successful,0,55,2011,False
513,successful,8,33,2017,False
514,successful,28,30,2020,True
516,successful,0,26,2019,False
517,successful,2,15,2018,False
518,failed,0,60,2019,False
519,successful,40,45,2018,False
520,successful,0,30,2015,False
521,successful,38,30,2020,False
522,failed,32,26,2017,True
523,successful,12,30,2016,True
524,successful,112,30,2019,False
525,failed,14,29,2014,False
526,successful,15,31,2019,False
527,successful,19,30,2017,False
528,successful,123,24,2020,True
529,successful,1,29,2012,False
530,failed,0,30,2015,False
531,successful,8,30,2015,False
532,failed,96,29,2019,False
533,failed,6,30,2015,False
534,failed,19,30,2016,False
535,failed,1,30,2017,False
537,successful,134,30,2020,False
538,successful,95,45,2010,False
539,failed,0,30,2016,False
540,failed,1,30,2017,False
541,successful,9,30,2017,False
542,failed,6,60,2016,False
543,failed,0,60,2014,False
544,successful,12,30,2014,False
545,successful,3,17,2019,False
546,successful,24,14,2018,True
547,failed,0,28,2017,False
548,failed,0,29,2016,False
549,failed,22,30,2017,False
551,failed,4,30,2015,False
552,successful,13,30,2017,False
553,failed,1,30,2016,False
554,successful,5,30,2012,False
555,failed,4,30,2018,False
556,failed,13,40,2015,False
557,failed,49,60,2012,False
558,failed,4,30,2016,False
559,failed,1,60,2018,False
560,successful,1,30,2018,False
561,successful,2,13,2018,False
562,successful,363,30,2018,False
563,successful,166,32,2014,True
564,successful,9,56,2015,False
565,failed,7,30,2015,False
566,failed,1,10,2016,False
567,failed,0,30,2016,False
568,failed,3,60,2014,False
569,successful,13,55,2012,False
570,successful,2,21,2018,False
571,successful,1,30,2018,False
572,successful,24,45,2013,False
573,failed,0,59,2012,False
574,failed,5,60,2011,False
575,failed,0,30,2019,False
576,successful,21,30,2012,False
577,successful,3,24,2019,True
578,failed,4,45,2016,False
579,failed,185,60,2017,False
581,successful,337,60,2019,False
582,failed,23,30,2018,False
583,successful,3,30,2011,False
584,successful,72,30,2018,False
585,failed,20,60,2016,False
586,successful,2,30,2016,False
587,successful,8,30,2017,False
588,successful,3,25,2017,False
589,failed,1,30,2015,False
590,successful,179,30,2019,False
591,failed,0,30,2017,False
592,successful,1121,31,2018,False
593,failed,0,30,2019,False
594,failed,0,30,2017,True
595,successful,24,30,2020,False
596,failed,15,30,2017,False
597,failed,39,30,2016,False
598,failed,289,29,2015,False
599,successful,13,30,2013,False
600,failed,28,45,2020,False
601,successful,3,77,2009,True
602,successful,3,30,2016,False
603,failed,35,30,2018,False
604,failed,0,30,2017,False
605,failed,60,59,2016,False
606,failed,9,30,2015,False
607,successful,0,14,2020,False
608,successful,25,31,2020,False
609,failed,0,30,2016,False
610,successful,13,60,2014,False
611,failed,8,30,2016,False
612,failed,1,30,2016,False
613,failed,8,29,2012,False
614,successful,2,32,2013,False
616,successful,24,30,2013,False
617,failed,2,29,2017,False
618,failed,799,45,2016,False
619,failed,4,30,2018,False
620,failed,0,29,2015,False
621,successful,1,45,2016,False
622,failed,10,21,2018,False
623,successful,7,29,2019,False
624,failed,0,30,2016,False
625,failed,1,28,2013,False
626,failed,1,30,2018,False
627,successful,44,30,2020,False
628,successful,76,30,2014,False
629,failed,52,44,2011,False
630,failed,245,30,2015,False
631,successful,18,44,2020,False
633,failed,0,60,2019,False
634,failed,24,30,2017,False
635,successful,8,26,2020,False
636,failed,0,30,2017,False
637,failed,0,29,2017,False
638,failed,0,60,2015,False
639,successful,81,11,2019,True
640,failed,0,17,2014,False
641,successful,13,24,2019,True
642,successful,4,30,2020,True
643,failed,32,30,2020,False
644,failed,3,30,2013,False
645,successful,31,30,2014,False
646,failed,13,25,2018,False
647,failed,21,40,2015,False
648,failed,7,30,2019,False
649,successful,2,30,2013,False
650,successful,9,31,2018,False
652,failed,3,30,2020,False
653,successful,9,31,2017,False
654,successful,2,59,2018,False
655,failed,47,30,2016,False
656,successful,98,29,2014,True
657,successful,5,45,2012,False
659,failed,1,30,2014,False
661,failed,1,30,2016,False
662,failed,368,30,2015,False
664,failed,7,30,2013,False
665,failed,40,30,2015,False
666,successful,6,30,2019,True
667,successful,2,29,2013,False
668,successful,20,30,2019,False
669,successful,1,30,2018,False
670,successful,174,30,2020,False
671,successful,260,30,2014,False
672,failed,27,60,2017,False
674,successful,8,30,2020,False
675,failed,0,57,2017,False
676,successful,0,30,2011,False
677,failed,0,59,2015,False
678,failed,4,30,2017,False
679,successful,44,30,2015,False
680,successful,0,45,2019,False
681,failed,1,30,2015,False
682,successful,13,14,2019,False
683,failed,49,31,2020,False
684,successful,4,30,2020,True
685,successful,0,10,2015,False
686,successful,31,30,2017,True
687,failed,34,59,2016,False
688,successful,11,30,2020,False
689,successful,0,31,2014,False
690,failed,19,45,2017,False
691,successful,15,19,2020,False
692,failed,0,60,2014,False
693,successful,3,12,2014,False
694,failed,0,22,2017,False
695,successful,47,28,2018,False
696,successful,86,59,2020,False
697,successful,49,60,2016,False
698,failed,0,30,2015,False
699,failed,0,60,2011,False
700,successful,61,30,2018,False
701,failed,0,30,2014,True
702,successful,0,30,2015,False
703,successful,2,19,2017,False
704,failed,3,60,2019,False
705,successful,82,30,2014,False
706,successful,46,30,2018,False
707,successful,26,35,2019,True
709,successful,3,29,2019,True
710,successful,3,30,2015,False
711,successful,4,30,2011,True
712,successful,20,30,2018,False
713,successful,6,30,2019,False
714,failed,596,30,2016,False
715,failed,53,59,2015,False
717,successful,42,14,2020,False
718,successful,25,30,2018,False
719,successful,0,27,2015,False
720,successful,14,35,2015,False
721,successful,1,60,2019,False
722,successful,0,61,2011,False
724,successful,18,30,2015,False
725,successful,20,30,2018,False
726,successful,12,33,2013,False
727,failed,9,30,2019,False
728,successful,12,20,2020,False
729,successful,7,30,2017,False
730,failed,1,30,2018,False
731,failed,664,30,2019,False
732,successful,1,30,2018,False
733,successful,265,30,2020,False
734,failed,2,15,2015,False
735,successful,42,30,2019,False
736,failed,1,30,2015,False
737,successful,22,30,2013,False
738,successful,28,70,2010,False
740,successful,2,34,2012,False
741,successful,135,30,2020,False
743,successful,8,30,2015,False
744,successful,1,21,2018,False
745,failed,196,30,2015,True
746,failed,1,59,2015,False
747,successful,20,30,2020,False
748,failed,29,60,2019,False
749,successful,118,53,2016,False
750,failed,16,40,2020,False
751,successful,4,24,2014,True
752,failed,33,30,2019,False
753,successful,9,21,2019,False
754,failed,32,30,2016,False
755,successful,3,59,2018,True
756,successful,2,44,2019,False
757,successful,14,44,2015,True
758,successful,9,45,2017,False
759,successful,1,30,2020,False
760,failed,9,30,2017,False
761,successful,5,27,2020,False
762,successful,0,60,2018,False
763,failed,74,29,2017,False
764,successful,3,7,2019,False
765,successful,172,35,2015,True
766,successful,19,51,2020,False
767,successful,0,18,2018,False
768,failed,8,29,2018,False
769,successful,27,31,2018,False
771,successful,19,25,2020,False
772,successful,0,40,2020,False
773,successful,0,30,2017,False
774,successful,9,23,2015,False
776,failed,8,57,2018,False
777,successful,17,20,2019,False
778,failed,6,45,2016,False
779,successful,21,35,2019,False
781,failed,113,30,2018,False
782,failed,6,45,2019,False
783,successful,12,29,2018,False
785,failed,0,29,2017,False
787,failed,0,30,2016,False
788,successful,308,30,2019,False
789,successful,64,30,2017,False
791,successful,2,20,2018,False
792,failed,4,10,2014,False
793,successful,4,30,2015,True
794,successful,0,30,2015,False
795,failed,58,28,2014,False
796,successful,0,59,2015,False
797,successful,14,60,2018,False
798,successful,61,30,2011,False
799,successful,2015,30,2018,False
800,successful,1,59,2020,False
801,failed,9,29,2016,False
802,successful,4,29,2015,True
803,failed,0,29,2018,False
804,successful,14,29,2015,False
805,successful,3,14,2012,False
806,successful,13,30,2018,False
807,successful,73,21,2019,False
808,successful,131,60,2019,True
809,successful,15,40,2019,False
810,failed,0,29,2016,False
811,successful,6,25,2018,False
812,successful,315,34,2016,False
813,successful,165,21,2018,False
814,failed,8,30,2014,False
815,successful,43,18,2016,False
816,successful,56,30,2018,True
817,successful,41,60,2019,False
818,successful,21,29,2015,False
819,successful,35,31,2014,False
820,failed,12,40,2020,False
821,successful,3,30,2017,False
822,successful,14,32,2013,False
823,successful,11,40,2018,False
824,successful,13,14,2020,False
825,failed,8,21,2018,False
827,failed,43,45,2018,False
828,failed,443,45,2013,False
829,successful,0,30,2015,False
830,successful,24,30,2019,False
831,successful,5,30,2014,True
832,successful,33,30,2013,False
833,successful,7,44,2011,False
835,successful,16,30,2018,True
836,successful,21,23,2019,False
837,successful,16,28,2015,True
838,successful,330,35,2014,True
839,successful,4,60,2014,False
840,successful,7,31,2018,False
841,successful,1,40,2011,False
842,successful,319,28,2020,False
843,successful,22,20,2014,True
844,failed,4,60,2016,False
845,failed,0,24,2016,False
846,successful,3,30,2015,False
847,failed,1,38,2020,False
848,failed,103,30,2019,False
849,failed,14,29,2013,False
850,failed,52,30,2020,False
851,successful,3,29,2013,False
852,successful,5,31,2014,False
853,failed,199,27,2018,False
854,successful,4,30,2013,False
855,successful,1,18,2019,False
856,successful,3,30,2017,False
857,successful,28,29,2013,False
858,successful,58,15,2020,False
859,successful,8,31,2017,False
860,successful,30,31,2019,False
861,successful,0,14,2015,False
862,successful,81,30,2018,True
863,successful,9,32,2020,False
864,failed,19,30,2017,True
865,successful,22,28,2018,False
866,successful,11,30,2017,False
867,successful,4,23,2019,False
868,failed,0,59,2019,False
869,successful,15,15,2019,False
870,failed,15,27,2020,False
871,successful,4,30,2013,False
872,successful,73,30,2014,False
873,failed,4,35,2017,False
874,successful,131,30,2020,True
875,failed,87,29,2014,False
876,failed,9,60,2019,False
877,failed,0,60,2019,False
878,successful,160,35,2014,True
879,successful,18,30,2016,False
880,successful,9,44,2017,False
881,failed,1,30,2016,False
882,successful,12,17,2018,False
883,successful,44,40,2014,False
884,successful,20,30,2018,False
885,failed,2,60,2018,False
886,successful,694,30,2017,False
887,successful,5,60,2019,False
888,failed,7,30,2014,False
889,failed,24,59,2014,False
890,successful,22,30,2015,True
891,successful,34,30,2014,False
892,failed,10,30,2016,True
893,successful,12,38,2013,False
894,successful,2,30,2017,False
895,successful,4,22,2019,False
896,successful,197,43,2016,True
897,successful,20,30,2017,False
898,successful,0,33,2020,False
899,failed,53,12,2014,False
900,successful,6,30,2012,False
901,failed,2,14,2015,False
902,successful,8,20,2019,False
903,failed,14,30,2019,False
904,successful,0,29,2013,False
905,successful,22,35,2020,False
906,failed,40,36,2017,False
907,successful,293,60,2016,True
908,successful,73,30,2019,False
909,successful,49,28,2015,False
911,successful,341,24,2016,False
912,failed,81,30,2016,False
913,successful,54,30,2019,False
914,successful,5,31,2016,True
915,successful,0,30,2017,False
916,successful,6,29,2018,False
917,successful,128,30,2013,False
918,successful,5,45,2015,False
919,successful,8,30,2012,True
920,failed,4,30,2019,False
921,successful,0,30,2015,True
922,successful,2,30,2019,False
923,successful,0,35,2019,False
924,successful,5,41,2016,True
925,successful,16,30,2017,False
926,failed,5,46,2016,False
927,successful,17,30,2019,False
928,successful,2,31,2013,False
929,successful,13,38,2017,False
930,successful,26,30,2018,False
931,successful,21,30,2020,False
932,failed,21,30,2018,False
933,successful,12,7,2017,False
935,failed,19,30,2018,False
936,successful,67,28,2014,False
937,successful,14,30,2019,False
938,successful,17,30,2012,False
939,failed,25,60,2017,False
941,successful,76,30,2012,False
942,failed,1,15,2014,False
943,successful,26,21,2018,False
944,successful,5,30,2015,False
945,successful,135,40,2014,True
946,failed,1,30,2016,False
947,successful,1,30,2018,False
948,failed,19,30,2018,False
949,successful,1,30,2015,False
950,successful,38,30,2012,True
951,successful,12,48,2015,False
952,failed,42,60,2016,False
953,failed,1,30,2015,False
954,successful,32,30,2017,False
955,successful,35,30,2020,False
956,failed,66,59,2017,False
957,successful,7,59,2014,False
958,successful,1,30,2011,False
959,successful,172,32,2016,True
960,successful,19,45,2015,False
961,successful,9,30,2019,False
962,failed,0,7,2016,False
963,successful,11,7,2016,False
964,successful,16,25,2016,False
965,failed,6,55,2016,False
966,successful,30,24,2015,False
967,successful,11,60,2010,False
968,failed,0,30,2012,False
969,successful,0,27,2015,False
970,successful,8,35,2013,False
971,successful,5,30,2019,False
972,failed,13,60,2014,False
973,successful,2,25,2017,False
974,successful,11,30,2018,False
975,failed,2,30,2014,False
977,successful,9,30,2019,False
978,successful,0,30,2017,False
979,successful,19,30,2020,False
980,failed,0,29,2016,False
981,successful,55,30,2019,False
982,successful,61,68,2010,False
983,failed,7,30,2014,False
984,successful,88,42,2013,False
985,successful,6,18,2013,False
986,failed,30,44,2013,False
987,failed,14,60,2016,False
988,failed,92,30,2020,False
990,failed,161,30,2012,False
991,successful,5,30,2020,False
992,successful,64,30,2017,True
993,failed,2,30,2015,False
994,successful,10,30,2020,False
995,failed,16,10,2016,False
996,successful,37,32,2016,True
997,successful,12,28,2014,False
998,successful,140,25,2013,False
999,failed,9,27,2014,False
1000,successful,14,38,2016,True
1001,successful,110,30,2015,True
1002,successful,125,36,2016,True
1003,failed,5,30,2015,False
1004,successful,0,30,2015,False
1005,successful,310,29,2013,False
1006,successful,23,30,2014,False
1007,successful,8,10,2017,False
1008,failed,5,30,2018,False
1009,failed,17,29,2016,False
1012,failed,13,45,2013,False
1015,successful,4,18,2012,False
1016,successful,0,18,2016,False
1017,failed,5,32,2014,False
1018,successful,5,30,2014,True
1019,successful,63,31,2019,True
1021,successful,6,28,2019,True
1022,successful,88,30,2017,True
1023,failed,5,59,2014,False
1024,failed,1,30,2010,False
1025,successful,8,30,2013,False
1026,successful,5,31,2015,False
1027,successful,8,31,2018,False
1028,failed,36,45,2016,False
1029,successful,174,30,2018,False
1031,failed,58,30,2012,False
1032,successful,19,30,2018,False
1033,successful,22,30,2018,True
1034,failed,58,90,2011,False
1035,successful,10,39,2016,True
1036,successful,63,30,2012,True
1038,successful,0,30,2017,False
1039,failed,1,45,2013,False
1040,successful,5,30,2018,False
1041,successful,6,31,2018,False
1042,successful,4,24,2020,False
1043,successful,31,30,2017,False
1044,successful,35,21,2014,True
1045,successful,13,23,2012,False
1046,failed,3,55,2014,False
1047,successful,14,29,2015,False
1048,successful,0,33,2010,False
1049,successful,4,60,2019,False
1050,successful,3,30,2016,False
1051,successful,28,30,2016,True
1052,failed,4,40,2015,False
1053,failed,3,30,2014,False
1054,successful,0,30,2014,False
1055,successful,4,30,2011,False
1056,successful,7,30,2018,False
1057,successful,14,30,2013,False
1058,successful,0,31,2020,False
1059,successful,227,30,2013,False
1060,successful,0,32,2011,False
1061,failed,161,30,2015,False
1063,failed,3,29,2017,False
1064,failed,5,31,2011,False
